Company ,imageURL,Description,Website
TMA Associates,,,
Nielsen,,,
deepsense.io,,,
API.ai,,,
Artificial Solutions,http://aiworldexpo.com/wp-content/uploads/2016/07/artificial-solutions-360x280-e1469825125491.jpg,"Artificial Solutions’ patented Teneo technology enables people to converse with applications and services running on computers, mobiles, wearables and other electronic devices in a humanlike, intelligent manner.

Teneo is the first complete platform to enable enterprises to develop and analyze natural language applications that embrace artificial intelligence through the use of machine learning and implicit personalization.

Teneo allows business users and developers to collaborate on creating sophisticated natural language applications in record time that run on any operating system, in 35 languages, without the need for specialist linguistic skills. Teneo also unlocks the knowledge held in immense volumes of natural language conversations, delivering unprecedented levels of big data insight and true ‘voice of your customer’ understanding.",www.artificialsolutions.com
Cobalt Speech & Language,,,
Microsoft,,,
deepsense.io,,,
Facebook AI Research,,,
NTT ,,,
General Electric,,,
Lux Research,,,
McKinsey Global Institute,,,
McKinsey Global Institute,,,
Schlumberger,,,
Children's Hospital Los Angeles,,,
Uber,,,
digitate,http://aiworldexpo.com/wp-content/uploads/2016/07/Digitate-380x280.jpg,,
Bessemer,,,
SignalFire,,,
Mayfield Fund,,,
Qualcomm Ventures,,,
Kogentix,http://aiworldexpo.com/wp-content/uploads/2016/04/kogentix-logo-new-360x280.png,"Kogentix is a pure play analytics firm offering solutions to help enterprises build advanced anlytical capabilities that can leverage all types of data to provide insights and predict outcomes. Our applications help you innovate faster, reduce costs and increase revenue.  Our pre-built solutions and business focused consulting makes us the best partner in your big data journey.

",www.kogentix.com
pwc,http://aiworldexpo.com/wp-content/uploads/2016/06/pwc-360x280.jpg,,
Fortune,http://aiworldexpo.com/wp-content/uploads/2016/04/Fortune-Logo.jpg,,
inbenta,http://aiworldexpo.com/wp-content/uploads/2016/09/Inbenta-360x280.png,,
MAANA,http://aiworldexpo.com/wp-content/uploads/2016/08/Maana-logo-360x280.png,,
