ID,Title,startTime,endTime,Description,Speakers,Track,Links,Day,Location,Moderator,Investors,Order
1,Intelligent Assistants & Bots ,1:00 PM,5:00 PM,Intensive ½ day workshop on the current state of the Intelligent Assistant/Bot market and in-depth information on the many different varieties of intelligent assistants in the market and how an enterprise can build its own Bot.,William Meisel,Pre-Conference Workshop,http://aiworldexpo.com/sessions/workshop-building-bot/,Monday,Cyril Magnin 3,,,
2,ML in the Enterprise,1:00PM ,4:45 PM,"Intensive ½ day workshop providing comprehensive introduction to Enterprises on the entire machine learning industry, different options, players and technologies.",Jan Lasek,Pre-Conference Workshop,http://aiworldexpo.com/sessions/workshop-machine-learning/,Monday,Cyril Magnin 2,,,
3,AI Executive Summit,1:00 PM,4:45 PM,,"JP (Jean-Pierre) Abello, Beena Ammanath, Mark Bünger, Linda Bernardi,  Micheal Chui, Dr. Neil Eklund, David Ledbetter, Danny Lange, Dr. Harrick Vin, ",AI Executive Summit,aiworldexpo.com/ai-executive-summit/,Monday,Cyril Magnin 3,,,
4,Welcome,1:00 PM,1:10 PM,AI Executive Summit intro,Mark Bünger,AI Executive Summit Child,,Monday,Cyril Magnin 3,,,1
5,"Artificial Intelligence, Automation, Activities and Occupations – What the Future Could Hold",1:10 PM,1:35 PM,"As artificial intelligence technologies such as machine learning and robotics start to become more prevalent, their potential effect on the workplace has become a major focus of academic, business, and public concern. We will discuss findings from our detailed research that show that the story is more nuanced than simply asking whether mass unemployment is just around the corner.",Michael Chui,AI Executive Summit Child,,Monday,Cyril Magnin 3,,,2
6,Executive Panel: 2016 – The Year AI Grew Up ,1:35 PM,2:00 PM,"This year will long be remembered as the breakout year for AI, with new technologies and applications growing up faster than it seemed possible to track. Like a teenager who’s just earned the right to car keys, AI’s responsibilities and the consequences of its actions permanently passed a milestone in 2016. Our panel will discuss the significant events that show how AI is leaving adolescence – and what it’s likely to be up next. Join our executive panelists to hear how we got here, what’s most important now, and what 2017 will hold in store.","Beena Ammanath, Dr. Neil Eklund, Kumar Srivastava",AI Executive Summit Child,,Monday,Cyril Magnin 3,Linda Bernardi,,3
7,Why is Artificial Intelligence Relevant for IT?,2:00 PM,2:20 PM,"Through all the hype about artificial intelligence, how is it relevant for your enterprise IT? Why should you care? In this session, we will examine the long running challenges IT has in managing complex business critical applications and the infrastructure. Learn how AI can finally solve these complex issues and transform your organization to be substantially more agile!",Akhilesh Tripathi,AI Executive Summit Child,,Monday,Cyril Magnin 3,,,4
8,A Deep Learning Approach to Understanding Critical Illness in Children,2:20 PM,2:40 PM,"Mr. Ledbetter will discuss how his team applies recurrent neural networks to learn important correlations within the electronic health records of over 20,000 patients from the Pediatric Intensive Care Unit at Children’s Hospital Los Angeles over a period of more than 10 years. The learned models predict the trajectory of patient vitals and probability of survival. The models enable a clinician to insert a therapy and assess whether the vital and mortality predictions are perturbed in a useful fashion.",David Ledbetter,AI Executive Summit Child,,Monday,Cyril Magnin 3,,,5
9,Break,2:40 PM,3:00 PM,,,AI Executive Summit Child,,Monday,Cyril Magnin 3,,,6
10,Will AI Make IT a Strategic Differentiator Again?,3:00 PM,3:30 PM,"In a devastatingly incisive article in 2003, Harvard Business Review stated bluntly, “IT Doesn’t Matter.” After a decade of treating information technology as a competitive differentiator, the fact that IT had become ubiquitous and affordable to all meant that it was no longer a strategic matter, capable of changing the fate of one company over its peers. But today, artificial intelligence has the potential to once again give companies something that their competitors can’t copy, and can’t beat. But will it, who will do it, how will it happen, and when? Our executive panel lay out the promising points, and a path to get there.","JP (Jean-Pierre) Abello, Danny Lange, David Linthicum",AI Executive Summit Child,,Monday,Cyril Magnin 3,Mark Bünger,,7
11, AI: What Lies Ahead?,3:30 PM,4:00 PM,"These days AI finds itself in sentences with words like “breakthrough” and “finally real”. There have indeed been great advances in key areas like object and speech recognition, language translation, and predictive analytics. But AI is much more than that. Demographic trends like the aging population and technical trends like the Internet of Things require new ways of thinking about human-machine interaction and trustable autonomy. AI’s biggest impact lies ahead.",Dr. William Mark,AI Executive Summit Child,,Monday,Cyril Magnin 3,,,8
12,Fireside Chat,4:00 PM,4:45 PM,Fireside Chat,Linda Bernardi,AI Executive Summit Child,,Monday,Cyril Magnin 3,,,9
13,Break with Exhibitors,2:45 PM,3:15 PM,,,Networking,,Monday,AI World Exhibition,,,
14,"Building the Ecosystem: Investment, Alliances and Partnering",5:00 PM,5:45 PM,"The AI and machine learning industries are in their infancy. As the market grows and expands, companies will need to continue to invest, build multi-industry channels and find unique and mutually beneficial partnerships in order to build enterprise-class business models.  In this session, veteran industry investment professionals discuss likely scenarios of how and where this will unfold, and where new investment opportunities will arise.","Umair Akeel, Chris Farmer, Tim Chang, Patrick Eggen",General Session,http://aiworldexpo.com/sessions/building-ecosystem/,Monday,Cyril Magnin Ballroom,,,
15,Attack of the Bots – Demo Night and Ecosystem Panel,6:00 PM,8:30 PM,In this installment of MobileMonday we will see some live demos of Chatbots and Ecosystem Services supporting them.    We’ll follow demos with an ecosystem panel discussion.,"Paul Walsh, Arte Merritt, Lauren Kunze, Alex Quintana",General Session,http://aiworldexpo.com/sessions/mobile-monday/,Monday,Cyril Magnin 1,Mario Tapia,,
16,AI Startup Lightning Panel,6:30 PM,7:30 PM,"Join AI start-up advisor Steve Ardire who will moderate this panel with 8 AI startups.  Each panelist will present their innovative AI-powered application, followed by an interactive panel of experts who will provide unbiased feedback along with audience Q&A","Dr. Sindhu Joseph, Tamer Rashad, Nick Brestoff, Mounir Shita, Kristina Messdaghi, Maria Grineva, Dalia Asterbadi",Networking,http://aiworldexpo.com/sessions/ai-startup-lightning-panel/,Monday,Cyril Magnin 2,Steve Ardire,"Samad Farid, Shelley Zhuang, Christie Pitts",
17,Enteprise AI Adoption: A Study of Vertical Industry Adoption – Open to All Attendees,6:30 PM,7:30 PM,"AI World and Rethink Research recently published “Enterprise AI Adoption: An Executive Guide on the Commercial Impact of AI and Machine Learning in Vertical Industries“, a research study based on a global survey of enterprises and an expert analysis of the state of the enterprise AI market –

The potential impact and benefits of using artificial intelligence technologies such as machine learning, computer vision, natural language processing, predictive APIs and others are huge. McKinsey estimates the global economic impact of just one of the disruptive trends enabled by AI – automation of knowledge work – will be as great as $6.7 trillion by 2025. However, only some organizations are currently getting value from these technologies.

This session will step thru some of the results of the study, including a comparision of vertical market adoption in a multitude of industries, the implementation phases that organizations are experiencing and what impact it is having on their business.",Caroline Gabriel,Special Event,http://aiworldexpo.com/sessions/enteprise-ai-adoption-open-attendees/,Monday,Cyril Magnin 3,,,
25,Continental Breakfast,8:15 AM,8:45 AM,Hosted by WorkFusion,Adam Devine,Networking,http://aiworldexpo.com/sessions/continental-breakfast-hosted-workfusion/,Tuesday,Cyril Magnin Ballroom,,,
26,Conference Welcome,9:00 AM,9:10 AM,"AI World Conference and Expo brings together the industry’s thought leaders for an in-depth dive into the many facets of the business and technology of enterprise AI.

On the first day of the main conference proram we focus on enterprise implementation and deployment strategies & technologies.  The morning keynotes and general sessions explore key areas that large organizations need to address such as enterprise challenges for AI adoption, the role of cloud solutions vs. outsourced vs. home grown machine learning, how to assemble technology building blocks, and tracks covering the business and technology of AI and machine learning.","Mark Bunger, Eliot Weinman",General Session,http://aiworldexpo.com/program/,Tuesday,Cyril Magnin Ballroom,,,
27,Executive Roundtable: The State of AI,9:10 AM,9:45 AM,"AI industry executives discuss the state of the practice of enterprise AI today, from “where we’re at” to “where we’re going”. The panel will examine the dynamics of the leading edge of the technology ecosystem and the associated cross-industry business impacts they are driving.","Dr. Neil Eklund, Stephen Pratt, Ashish Lahoti, Dr. William Mark, Jim McHugh",General Session,http://aiworldexpo.com/sessions/stat-of-artificial-intelligence/,Tuesday,Cyril Magnin Ballroom,Linda Bernardi,,
28,"Artificial intelligence, automation, activities and occupations – what the future could hold",9:45 AM,10:15 AM,"As artificial intelligence technologies such as machine learning and robotics start to become more prevalent, their potential effect on the workplace has become a major focus of academic, business, and public concern. We will discuss findings from our detailed research that show that the story is more nuanced than simply asking whether mass unemployment is just around the corner.",Dr. Michael Chui,Keynote,http://aiworldexpo.com/sessions/keynote-2/,Tuesday,Cyril Magnin Ballroom,,,
29,Coffee Break with Exhibitors,10:15 AM,10:30 AM,,,Networking,,Tuesday,,,,
30,Practical AI Fueled by Big Data,10:30 AM,10:55 AM,"Much like cloud computing and big data in the past decade, the current AI wave of innovation has its foundation in decades old concepts.  The enablers that created major industry inflection points around cloud and big data – open source, open standards, and powerful commodity hardware – will also drive hyper-growth of AI based applications and services.   Hear application case studies from Boyd Davis, CEO of Kogentix and Mike Olson, Chief Strategy Officer of Cloudera, how the rapidly evolving Cloudera Enterprise data hub, built on Hadoop and related open source components, is enabling companies to deliver machine learning on an enterprise scale.","Boyd Davis, Mike Olson",Keynote,http://aiworldexpo.com/sessions/keynote-3/,Tuesday,Cyril Magnin Ballroom,,,
