ID,Title,startTime,endTime,Description,Speakers,Track,Links,Day,Location,Moderator,Investors,Order
T1,Continental Breakfast,8:15 AM,8:45 AM,Hosted by WorkFusion,Adam Devine,Networking,http://aiworldexpo.com/sessions/continental-breakfast-hosted-workfusion/,Tuesday,Cyril Magnin Ballroom,,,
T2,Conference Welcome,9:00 AM,9:10 AM,"AI World Conference and Expo brings together the industry’s thought leaders for an in-depth dive into the many facets of the business and technology of enterprise AI.

On the first day of the main conference proram we focus on enterprise implementation and deployment strategies & technologies.  The morning keynotes and general sessions explore key areas that large organizations need to address such as enterprise challenges for AI adoption, the role of cloud solutions vs. outsourced vs. home grown machine learning, how to assemble technology building blocks, and tracks covering the business and technology of AI and machine learning.","Mark Bunger, Eliot Weinman",General Session,http://aiworldexpo.com/program/,Tuesday,Cyril Magnin Ballroom,,,
T3,Executive Roundtable: The State of AI,9:10 AM,9:45 AM,"AI industry executives discuss the state of the practice of enterprise AI today, from “where we’re at” to “where we’re going”. The panel will examine the dynamics of the leading edge of the technology ecosystem and the associated cross-industry business impacts they are driving.","Dr. Neil Eklund, Stephen Pratt, Ashish Lahoti, Dr. William Mark, Jim McHugh",General Session,http://aiworldexpo.com/sessions/stat-of-artificial-intelligence/,Tuesday,Cyril Magnin Ballroom,Linda Bernardi,,
T4,"Artificial intelligence, automation, activities and occupations – what the future could hold",9:45 AM,10:15 AM,"As artificial intelligence technologies such as machine learning and robotics start to become more prevalent, their potential effect on the workplace has become a major focus of academic, business, and public concern. We will discuss findings from our detailed research that show that the story is more nuanced than simply asking whether mass unemployment is just around the corner.",Dr. Michael Chui,Keynote,http://aiworldexpo.com/sessions/keynote-2/,Tuesday,Cyril Magnin Ballroom,,,
T5,Coffee Break with Exhibitors,10:15 AM,10:30 AM,,,Networking,,Tuesday,,,,
T6,Practical AI Fueled by Big Data,10:30 AM,10:55 AM,"Much like cloud computing and big data in the past decade, the current AI wave of innovation has its foundation in decades old concepts.  The enablers that created major industry inflection points around cloud and big data – open source, open standards, and powerful commodity hardware – will also drive hyper-growth of AI based applications and services.   Hear application case studies from Boyd Davis, CEO of Kogentix and Mike Olson, Chief Strategy Officer of Cloudera, how the rapidly evolving Cloudera Enterprise data hub, built on Hadoop and related open source components, is enabling companies to deliver machine learning on an enterprise scale.","Boyd Davis, Mike Olson",Keynote,http://aiworldexpo.com/sessions/keynote-3/,Tuesday,Cyril Magnin Ballroom,,,
T7,Executive Roundtable: Evolution or Disruption,10:55 AM,11:30 AM,,"Robert Bogucki, Anju Gupta, Danny Lange, Rahul Kelkar,General Session",,http://aiworldexpo.com/sessions/executive-roundtable-enterprise-challenges-ai-adoption/,Tuesday,Cyril Magnin Ballroom,Mark Bunger,,
T8,"Keynote: Rob High, IBM Fellow, Vice President and Chief Technology Officer, IBM Watson",11:30 AM,11:50 AM,,Rob High,Keynote,http://aiworldexpo.com/sessions/keynote-rob-high-ibm-fellow-vice-president-chief-technology-officer-ibm-watson/,Tuesday,Cyril Magnin Ballroom,,,
T10,Keynote: Accelerating Industrial IoT with Artificial Intelligence,11:50 AM,12:15 PM,"An innovative technology leader with over 23 years proven track record of building core big data/data science competencies and leading high performance teams from the ground-up scaling 0 to 150+ geographically distributed global teams with a sharp focus on strategy and successful execution of industrial scale data science products and services. Experienced at recognized international organizations British Telecom, E*trade, Thomson Reuters, Bank of America and also, Silicon Valley startups, in engineering and management positions. She holds a Masters in Computer Science and MBA in Finance. Beena is dedicated to supporting diversity in technology both within GE and beyond. Outside of GE, she is on the Board of Directors for the non-profit organization, ChickTech.",Beena Ammanath,Keynote,http://aiworldexpo.com/sessions/keynote-4/,Tuesday,Cyril Magnin Ballroom,,,
T11,Conference Luncheon and Network with Exhibitors,12:15 PM,1:30 PM,Lunch sponsored by pwc,,Lunch,,Tuesday,Cyril Magnin Ballroom,,,
T12,Finding the Best Applications for AI and Machine Learning1:30 PM,1:30 PM,2:15 PM,"There are hundreds of AI and machine learning vendors promoting thousands of potential business applications for machine learning and associated technologies.  In addition, as enterprises move their workforce to the cloud, the major cloud vendors have been integrating machine learning software into their cloud offerings.","David Linthicum, Matt Zeiler, Jai Malhotra, Adam Devine",Deploying AI Business Systems,,Tuesday,Cyril Magnin 1,Cirrus Shakeri,,
T13,How AI is Shaping the Future of the Auto & Transportation Industries,1:30 PM,2:15 PM,"Once a domain solely of human control, AI has found a place “behind the wheel” of personal and public transportation.  Learn how AI is powering this change, the obstacles it faces and what’s on the horizon of intelligent transportation.","Maryanna Saenko, Danny Shapiro",Industry Applications,http://aiworldexpo.com/sessions/ai-future-automotive-transportation/,Tuesday,Cyril Magnin 2,Mark Bunger,,
T14,State of Machine Learning 3.0,1:30 PM,2:15 PM,"For the past two years, Shivon Ziis and Bloomberg Data has published their fall update on the state of machine intelligence. To date, this landscape has become the the industry’s leading comprehensive analysis on the entire landscape of the machine intelligence industry. Join authors Shivon Zilis and James Cham for as they discuss the current state-of-the-market of their latest report, Machine Intelligence 3.0.","James Chan, Shivon Zilis",The Technologies of Enterprise AI,http://aiworldexpo.com/sessions/state-of-machine-learning-3-0-ai/,Tuesday,Cyril Magnin 3,,,
T15,AI in Industry,2:15 PM,3:00 PM,"David Schubmehl moderates this panel of end-users and solution providers and will uncover a variety of innovative AI and machine learning applications being used in various industries, the technologies and platforms used, and also what approach these companies are using to deploy an enterprise implementation process.","Andrea L. Cardozo, JP (Jean-Pierre) Abello, David Parsin, Joseph Voyles, Reynold Xin",,http://aiworldexpo.com/sessions/ai-in-industry/,Tuesday,Cyril Magnin 2,David Schubmehl,,
T16,Advances in Machine Learning,2:15 PM,3:00 PM,"Advances in machine learning, deep learning and neural networks are transforming data management and decision making in almost every industry sector from retail to security and healthcare. These experts will discuss real world implementation challenges.","Derek Collison, Neil Eklund, Jennifer Marsman, Samir Vasavada",The Technologies of Enterprise AI,http://aiworldexpo.com/sessions/panel-advances-machine-learning/,Tuesday,Cyril Magnin 2,Clint Wheelock,,
T17,Driving Deep Learning Adoption Within the Enterprise,2:15 PM,3:00 PM,"Deep learning is in the early stages of unlocking tremendous economic value. While the algorithms have revolutionized consumer experiences in domains as varied as speech interfaces, image search and language translation, enterprises are still relatively early in their adoption of deep learning algorithms to solve broader business problems. The panelists will discuss the challenges of adopting deep learning based solutions within the enterprise and the need for a platform-based approach to AI deployment. ","Fiaz Mohamed, Anju Gupta",Deploying AI Business Systems,,Tuesday,Cyril Magnin 1,,,
